,indice_cultural,delta_pct_direita
1,30.76923076923077,18.547181572829945
14,25.806451612903224,17.54706725564081
15,22.857142857142858,8.475899327806534
11,12.5,23.29141254543208
9,9.090909090909092,15.089827882864721
19,6.666666666666667,13.401841202678998
10,5.88235294117647,7.432719328494265
5,4.25531914893617,-0.3250257699276844
8,2.631578947368421,12.947379538552106
3,0.0,12.262850199399669
2,0.0,4.017056639027082
13,0.0,3.143155341491749
6,0.0,17.623343750158256
4,0.0,10.692178310522927
16,0.0,7.140021272343763
17,0.0,16.767567933194513
18,0.0,6.023377836240179
20,0.0,12.248505161382326
21,0.0,-3.109494680635926
