ano,n_zonas,total_votos_dir,HHI,Gini
1998,14,249374,0.10818801472516025,0.3757299707037851
2002,17,407040,0.06304020289968103,0.14704032556418795
2006,17,473647,0.06462481491895072,0.17626331051456912
2010,21,441308,0.05179235601680287,0.16551640642298415
2014,21,451029,0.052329911579409395,0.17337476663151952
2018,19,463038,0.05766694827215282,0.17705356000110029
2022,19,688136,0.05635679929529416,0.15132948015783906
