NR_ZONA,NR_LOCAL_VOTACAO,votos_cristovam,endereco,nome,total_validos,share,NM_LOCAL_VOTACAO,lat,lon
18,1368,128,DF 130 KM 32,ESCOLA CLASSE NÚCLEO RURAL CAFÉ SEM TROCO,1246,10.272873194221509,ESCOLA CLASSE CAFÉ SEM TROCO,-15.9192124,-47.6055003
10,1392,128,"AVENIDA CEDRO, AE 15, QS 16, FAZENDA SUCUPIRA",ESCOLA TÉCNICA DO RIACHO FUNDO - IFB,1994,6.41925777331996,INSTITUTO FEDERAL DE BRASÍLIA - CAMPUS RIACHO FUNDO,-15.8809934,-48.0085489
6,1252,127,BR 020 DF 365 DF 017 NUCLEO RURAL PIPIRIPAU,CENTRO DE ENSINO FUNDAMENTAL PIPIRIPAU II,1220,10.40983606557377,CENTRO DE ENSINO FUNDAMENTAL PIPIRIPAU II,-15.5349437,-47.512018
5,1740,122,DF 150 KM 11 CHACARA 4 ESTRADA DA FERCAL,ESCOLA CLASSE RUA DO MATO,1218,10.016420361247947,ESCOLA CLASSE RUA DO MATO,-15.6110748,-47.8772901
5,1368,121,DF 001 GRANJA SANTA HELENA,ESCOLA CLASSE SANTA HELENA,1192,10.151006711409396,ESCOLA CLASSE SANTA HELENA,-15.7063483,-47.79943
10,1163,116,EPCT DF 001 - SENTIDO GAMA/TAGUAT-CAUB II -,ESCOLA CLASSE AGROVILA II,1652,7.021791767554479,ESCOLA CLASSE AGROVILA II,-15.9393935,-48.0348171
8,1937,115,EQNM 03/05,ESCOLA CLASSE 18,1814,6.339581036383682,ESCOLA CLASSE 18,-15.8261488,-48.102748
6,1660,114,FAZENDA MESTRE DARMAS,ESCOLA CLASSE APRODARMAS,830,13.734939759036143,ESCOLA CLASSE APRODARMAS,-15.6642626,-47.6574224
6,1490,113,DF 320 NÚCLEO RURAL RIO PRETO,CENTRO DE ENSINO FUNDAMENTAL RIO PRETO,832,13.581730769230768,CENTRO DE ENSINO FUNDAMENTAL RIO PRETO,-15.7629614,-47.4928285
9,1325,107,QUADRA 03 AE 01 SETOR NORTE,CENTRO EDUCACIONAL INFANTIL 01 DA VILA ESTRUTURAL,4038,2.6498266468548786,CENTRO EDUCACIONAL INFANTIL 01 DA VILA ESTRUTURAL,-15.7790841,-47.9941788
5,1627,101,QUADRA 11 AREA ESPECIAL,ESCOLA CLASSE 11,1246,8.105939004815408,ESCOLA CLASSE 11,-15.6456349,-47.7888056
5,1805,97,QMS 49 LOTE 2 - MORADA DA SERRA,INSTITUTO PIAGENTIANO DE EDUCAÇÃO,1214,7.990115321252059,CENTRO DE EDUCAÇÃO NERY LACERDA - CENEL,-15.6367978,-47.8444844
17,1422,84,SIGA A.E. 02 SETOR LESTE,FACULDADES INTEGRADAS DA UNIAO EDUC. DO PLANALTO CENTRAL - FACIPLAC,1356,6.1946902654867255,UNICEPLAC - CENTRO UNIV. DO PLANALTO CENTRAL APPARECIDO DOS SANTOS,-16.0016073,-48.0508405
21,1287,83,QUADRA 602 CONJUNTO 01 LOTE 01,CENTRO DE ENSINO FUNDAMENTAL 602,1194,6.95142378559464,CENTRO DE ENSINO FUNDAMENTAL 602 DO RECANTO DAS EMAS,-15.915566,-48.0543466
