ano,n_zonas,total_votos_esq,HHI,Gini
1998,14,246665,0.09226601940693382,0.30732282940135697
2002,17,379682,0.0662482907730046,0.193504657303
2006,17,336992,0.07217464266704897,0.24467119484770453
2010,21,456986,0.05365933120237509,0.18088331558766102
2014,21,441426,0.05422457233626145,0.2093682099119024
2018,19,397928,0.0566540203878818,0.15646258143499114
2022,19,377885,0.0571782901469898,0.15960132677513278
